ticker,name,sector
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclicals
ADHI,Adhi Karya (Persero) Tbk.,Infrastructures
ADMR,Adaro Minerals Indonesia Tbk.,Energy
ADRO,Adaro Energy Indonesia Tbk.,Energy
AGII,Aneka Gas Industri Tbk.,Basic Materials
AGRO,Bank Raya Indonesia Tbk.,Financials
AKRA,AKR Corporindo Tbk.,Energy
AMMN,Amman Mineral Internasional Tbk.,Basic Materials
AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals
ANTM,Aneka Tambang Tbk.,Basic Materials
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate
ARTO,Bank Jago Tbk.,Financials
ASII,Astra International Tbk.,Consumer Cyclicals
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate
AUTO,Astra Otoparts Tbk.,Consumer Cyclicals
AVIA,Avia Avian Tbk.,Basic Materials
BBCA,Bank Central Asia Tbk.,Financials
BBNI,Bank Negara Indonesia (Persero) Tbk.,Financials
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,Financials
BBTN,Bank Tabungan Negara (Persero) Tbk.,Financials
BDMN,Bank Danamon Indonesia Tbk.,Financials
BEST,Bekasi Fajar Industrial Estate Tbk.,Properties & Real Estate
BFIN,BFI Finance Indonesia Tbk.,Financials
BIRD,Blue Bird Tbk.,Transportation & Logistics
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,Financials
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,Financials
BKSL,Sentul City Tbk.,Properties & Real Estate
BMRI,Bank Mandiri (Persero) Tbk.,Financials
BMTR,Global Mediacom Tbk.,Consumer Cyclicals
BNGA,Bank CIMB Niaga Tbk.,Financials
BNII,Bank Maybank Indonesia Tbk.,Financials
BNLI,Bank Permata Tbk.,Financials
BRIS,Bank Syariah Indonesia Tbk.,Financials
BRMS,Bumi Resources Minerals Tbk.,Basic Materials
BRPT,Barito Pacific Tbk.,Basic Materials
BSDE,Bumi Serpong Damai Tbk.,Properties & Real Estate
BTPS,Bank BTPN Syariah Tbk.,Financials
BUKA,Bukalapak.com Tbk.,Technology
BUMI,Bumi Resources Tbk.,Energy
BYAN,Bayan Resources Tbk.,Energy
CARE,Metro Healthcare Indonesia Tbk.,Healthcare
CBRE,Cakra Buana Resources Energi Tbk.,Transportation & Logistics
CCSI,Communication Cable Systems Indonesia Tbk.,Technology
CENT,Centratama Telekomunikasi Indonesia Tbk.,Infrastructures
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals
CLPI,Colorpak Indonesia Tbk.,Basic Materials
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals
CPIN,Charoen Pokphand Indonesia Tbk.,Consumer Non-Cyclicals
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals
CRSN,Carsurin Tbk.,Industrials
CTRA,Ciputra Development Tbk.,Properties & Real Estate
CUAN,Petrindo Jaya Kreasi Tbk.,Energy
DMAS,Puradelta Lestari Tbk.,Properties & Real Estate
DMMX,Digital Mediatama Maxima Tbk.,Technology
DOID,Delta Dunia Makmur Tbk.,Energy
